AirportID,Latitude,Longitude,AirportLatitude,AirportLongitude,PayingPax,Fare
PHX,33.683434,-111.966133,33.435893,-112.008254,1,23
PHX,33.6813,-111.9662,33.435893,-112.008254,1,23
PHX,33.63769,-111.897152,33.435893,-112.008254,1,25
PHX,33.376256,-111.97182,33.435893,-112.008254,1,16
PHX,33.637686,-111.896871,33.435893,-112.008254,1,25
PHX,33.376256,-111.97182,33.435893,-112.008254,1,17
PHX,33.376256,-111.97182,33.435893,-112.008254,1,16
PHX,33.376256,-111.97182,33.435893,-112.008254,2,34
PHX,33.5995,-111.7556,33.435893,-112.008254,1,38
PHX,33.376256,-111.97182,33.435893,-112.008254,1,17
PHX,33.451859,-112.07003,33.435893,-112.008254,1,12
PHX,33.376256,-111.97182,33.435893,-112.008254,1,17
PHX,33.639224,-111.89621,33.435893,-112.008254,1,25
PHX,33.522442,-112.02228,33.435893,-112.008254,2,28
PHX,33.54781,-112.046757,33.435893,-112.008254,1,17
PHX,33.374266,-111.971726,33.435893,-112.008254,1,17
PHX,33.374266,-111.971726,33.435893,-112.008254,1,16
PHX,33.596778,-112.064907,33.435893,-112.008254,1,17
PHX,33.585006,-112.116056,33.435893,-112.008254,1,21
PHX,33.64516,-111.917529,33.435893,-112.008254,1,25
PHX,33.585012,-112.116046,33.435893,-112.008254,1,21
PHX,33.449946,-112.071984,33.435893,-112.008254,2,24
PHX,33.449824,-112.071894,33.435893,-112.008254,1,13
PHX,33.374266,-111.971726,33.435893,-112.008254,1,17
PHX,33.374266,-111.971726,33.435893,-112.008254,1,17
PHX,33.512365,-112.11689,33.435893,-112.008254,1,15
PHX,33.374266,-111.971726,33.435893,-112.008254,1,17
PHX,33.376256,-111.97182,33.435893,-112.008254,1,17
PHX,33.378002,-111.96311,33.435893,-112.008254,1,15
PHX,33.376256,-111.97182,33.435893,-112.008254,1,16
PHX,33.304667,-111.903688,33.435893,-112.008254,1,21
PHX,33.639224,-111.89621,33.435893,-112.008254,2,34
PHX,33.374266,-111.971726,33.435893,-112.008254,1,17
PHX,33.374266,-111.971726,33.435893,-112.008254,2,34
PHX,33.376256,-111.97182,33.435893,-112.008254,1,16
PHX,33.639224,-111.89621,33.435893,-112.008254,2,30
PHX,33.378056,-111.97056,33.435893,-112.008254,1,15
PHX,33.374266,-111.971726,33.435893,-112.008254,3,51
PHX,33.415693,-111.79293,33.435893,-112.008254,1,20
PHX,33.374266,-111.971726,33.435893,-112.008254,1,17
PHX,33.707012,-112.113371,33.435893,-112.008254,1,30
PHX,33.54175,-112.2596,33.435893,-112.008254,3,69
PHX,33.449593,-112.07132,33.435893,-112.008254,1,12
PHX,33.375233,-111.971407,33.435893,-112.008254,1,17
PHX,33.683434,-111.966133,33.435893,-112.008254,1,23
PHX,33.596778,-112.064907,33.435893,-112.008254,1,16
PHX,33.541244,-112.261101,33.435893,-112.008254,1,24
PHX,33.639224,-111.89621,33.435893,-112.008254,1,15
PHX,33.414219,-111.895818,33.435893,-112.008254,1,13
PHX,33.629356,-111.938205,33.435893,-112.008254,1,28
PHX,33.639224,-111.89621,33.435893,-112.008254,1,15
PHX,33.49681,-111.92484,33.435893,-112.008254,3,51
PHX,33.6813,-111.9662,33.435893,-112.008254,1,23
PHX,33.419859,-111.828731,33.435893,-112.008254,1,17
PHX,33.638737,-111.922914,33.435893,-112.008254,1,25
PHX,33.614161,-111.893,33.435893,-112.008254,1,20
PHX,33.51066,-112.0251,33.435893,-112.008254,1,15
PHX,33.625796,-111.932793,33.435893,-112.008254,1,21
PHX,33.452292,-112.070359,33.435893,-112.008254,1,13
PHX,33.62296,-111.93392,33.435893,-112.008254,1,21
PHX,33.639224,-111.89621,33.435893,-112.008254,3,54
PHX,33.639224,-111.89621,33.435893,-112.008254,1,25
PHX,33.510481,-111.92588,33.435893,-112.008254,1,17
PHX,33.639224,-111.89621,33.435893,-112.008254,5,90
PHX,33.578967,-112.119713,33.435893,-112.008254,1,17
PHX,33.625796,-111.932793,33.435893,-112.008254,1,21
PHX,33.625796,-111.932793,33.435893,-112.008254,1,21
PHX,33.492814,-111.93356,33.435893,-112.008254,1,17
PHX,33.623836,-112.18556,33.435893,-112.008254,1,28
PHX,33.545272,-111.89224,33.435893,-112.008254,1,21
PHX,33.496482,-111.924681,33.435893,-112.008254,1,17
PHX,33.408114,-111.68446,33.435893,-112.008254,1,21
PHX,33.378056,-111.97056,33.435893,-112.008254,1,15
PHX,33.538605,-111.86971,33.435893,-112.008254,1,21
PHX,33.6813,-111.9662,33.435893,-112.008254,1,23
PHX,33.451859,-112.07003,33.435893,-112.008254,1,13
PHX,33.451859,-112.07003,33.435893,-112.008254,1,13
PHX,33.350044,-111.974612,33.435893,-112.008254,1,17
PHX,33.449593,-112.07132,33.435893,-112.008254,1,13
PHX,33.510108,-111.92439,33.435893,-112.008254,1,17
PHX,33.538605,-111.86971,33.435893,-112.008254,1,21
PHX,33.451859,-112.07003,33.435893,-112.008254,2,26
PHX,33.545272,-111.89224,33.435893,-112.008254,1,21
PHX,33.614162,-111.893,33.435893,-112.008254,1,20
PHX,33.412016,-111.970081,33.435893,-112.008254,1,13
PHX,33.412247,-111.97235,33.435893,-112.008254,1,15
PHX,33.548098,-111.91671,33.435893,-112.008254,1,21
PHX,33.482229,-112.07568,33.435893,-112.008254,1,15
PHX,33.51066,-112.0251,33.435893,-112.008254,1,15
PHX,33.486226,-111.925466,33.435893,-112.008254,2,34
PHX,33.548745,-111.91569,33.435893,-112.008254,1,21
PHX,33.634176,-112.377086,33.435893,-112.008254,1,32
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.62296,-111.93392,33.435893,-112.008254,1,20
PHX,33.449824,-112.071894,33.435893,-112.008254,2,26
PHX,33.62296,-111.93392,33.435893,-112.008254,1,21
PHX,33.452292,-112.070359,33.435893,-112.008254,1,13
PHX,33.362602,-111.84107,33.435893,-112.008254,1,17
PHX,33.449946,-112.071984,33.435893,-112.008254,1,13
PHX,33.451859,-112.07003,33.435893,-112.008254,2,26
PHX,33.449946,-112.071984,33.435893,-112.008254,2,26
PHX,33.493499,-111.933452,33.435893,-112.008254,2,32
PHX,33.451859,-112.07003,33.435893,-112.008254,1,13
