,AirportID,Latitude,Longitude,AirportLatitude,AirportLongitude,PayingPax,Fare,Distance_mile
67,PHX,33.512365,-112.11689,33.435893,-112.008254,1,15.0,11.5355492982
68,PHX,33.512365,-112.11689,33.435893,-112.008254,1,15.0,11.5355492982
69,PHX,33.683434,-111.966133,33.435893,-112.008254,1,23.0,19.5118508907
70,PHX,33.452292,-112.070359,33.435893,-112.008254,1,13.0,4.70906809151
71,PHX,33.484292,-111.92603,33.435893,-112.008254,1,17.0,8.07659813459
72,PHX,33.484484,-111.924974,33.435893,-112.008254,1,17.0,8.15067475229
73,PHX,33.378118,-111.96596,33.435893,-112.008254,2,26.0,6.42382277688
74,PHX,33.683434,-111.966133,33.435893,-112.008254,1,23.0,19.5118508907
75,PHX,33.512365,-112.11689,33.435893,-112.008254,1,15.0,11.5355492982
76,PHX,33.683434,-111.966133,33.435893,-112.008254,1,23.0,19.5118508907
77,PHX,33.447335,-112.073424,33.435893,-112.008254,1,12.0,4.54346759185
78,PHX,33.683434,-111.966133,33.435893,-112.008254,1,23.0,19.5118508907
79,PHX,33.449946,-112.071984,33.435893,-112.008254,1,12.0,4.64074112926
80,PHX,33.595608,-111.985803,33.435893,-112.008254,3,63.0,12.3169711528
81,PHX,33.38987,-111.85188,33.435893,-112.008254,1,17.0,12.183559791
82,PHX,33.451666,-112.073045,33.435893,-112.008254,1,13.0,4.82057106843
83,PHX,33.449946,-112.071984,33.435893,-112.008254,2,26.0,4.64074112926
84,PHX,33.449946,-112.071984,33.435893,-112.008254,1,12.0,4.64074112926
85,PHX,33.449946,-112.071984,33.435893,-112.008254,1,13.0,4.64074112926
86,PHX,33.449824,-112.071894,33.435893,-112.008254,2,26.0,4.62713656802
87,PHX,33.622348,-111.91811,33.435893,-112.008254,1,21.0,18.0616563062
88,PHX,33.49681,-111.92484,33.435893,-112.008254,2,30.0,9.00915582912
89,PHX,33.63769,-111.897152,33.435893,-112.008254,1,25.0,20.3277464476
90,PHX,33.492289,-112.07529,33.435893,-112.008254,1,15.0,7.75375355722
91,PHX,33.683434,-111.966133,33.435893,-112.008254,1,23.0,19.5118508907
92,PHX,33.6813,-111.9662,33.435893,-112.008254,1,23.0,19.3606992229
93,PHX,33.63769,-111.897152,33.435893,-112.008254,1,25.0,20.3277464476
94,PHX,33.376256,-111.97182,33.435893,-112.008254,1,16.0,6.2148118569
95,PHX,33.637686,-111.896871,33.435893,-112.008254,1,25.0,20.3436556481
96,PHX,33.376256,-111.97182,33.435893,-112.008254,1,17.0,6.2148118569
97,PHX,33.376256,-111.97182,33.435893,-112.008254,1,16.0,6.2148118569
98,PHX,33.376256,-111.97182,33.435893,-112.008254,2,34.0,6.2148118569
99,PHX,33.5995,-111.7556,33.435893,-112.008254,1,38.0,25.8450393101
100,PHX,33.376256,-111.97182,33.435893,-112.008254,1,17.0,6.2148118569
101,PHX,33.451859,-112.07003,33.435893,-112.008254,1,12.0,4.66023161173
102,PHX,33.376256,-111.97182,33.435893,-112.008254,1,17.0,6.2148118569
103,PHX,33.639224,-111.89621,33.435893,-112.008254,1,25.0,20.4878840566
104,PHX,33.522442,-112.02228,33.435893,-112.008254,2,28.0,6.78165072667
105,PHX,33.54781,-112.046757,33.435893,-112.008254,1,17.0,9.94244417903
106,PHX,33.374266,-111.971726,33.435893,-112.008254,1,17.0,6.35757955424
107,PHX,33.374266,-111.971726,33.435893,-112.008254,1,16.0,6.35757955424
108,PHX,33.596778,-112.064907,33.435893,-112.008254,1,17.0,14.3677241022
109,PHX,33.585006,-112.116056,33.435893,-112.008254,1,21.0,16.5013250967
110,PHX,33.64516,-111.917529,33.435893,-112.008254,1,25.0,19.6696467829
111,PHX,33.585012,-112.116046,33.435893,-112.008254,1,21.0,16.5011632387
112,PHX,33.449946,-112.071984,33.435893,-112.008254,2,24.0,4.64074112926
113,PHX,33.449824,-112.071894,33.435893,-112.008254,1,13.0,4.62713656802
114,PHX,33.374266,-111.971726,33.435893,-112.008254,1,17.0,6.35757955424
115,PHX,33.374266,-111.971726,33.435893,-112.008254,1,17.0,6.35757955424
116,PHX,33.512365,-112.11689,33.435893,-112.008254,1,15.0,11.5355492982
117,PHX,33.374266,-111.971726,33.435893,-112.008254,1,17.0,6.35757955424
118,PHX,33.376256,-111.97182,33.435893,-112.008254,1,17.0,6.2148118569
119,PHX,33.378002,-111.96311,33.435893,-112.008254,1,15.0,6.59598615919
120,PHX,33.376256,-111.97182,33.435893,-112.008254,1,16.0,6.2148118569
121,PHX,33.304667,-111.903688,33.435893,-112.008254,1,21.0,15.0803419823
122,PHX,33.639224,-111.89621,33.435893,-112.008254,2,34.0,20.4878840566
123,PHX,33.374266,-111.971726,33.435893,-112.008254,1,17.0,6.35757955424
124,PHX,33.374266,-111.971726,33.435893,-112.008254,2,34.0,6.35757955424
125,PHX,33.376256,-111.97182,33.435893,-112.008254,1,16.0,6.2148118569
